"Status","Class","Path","Reason"
"M","ALLOWED_SUPPORTING",".env.example","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"M","ALLOWED_SUPPORTING","apps/api/package.json","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"M","ALLOWED_SUPPORTING","apps/api/src/__tests__/app.e2e.spec.ts","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"M","EXPECTED","apps/api/src/app.module.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth-store.port.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.constants.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.errors.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.guard.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.integration.spec.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.module.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.service.spec.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.service.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/auth.types.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/current-actor.decorator.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/password-hasher.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/postgres-auth.store.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/rate-limit.port.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/auth/secret-tokens.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"M","ALLOWED_SUPPORTING","apps/api/src/config/config.service.spec.ts","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"M","ALLOWED_SUPPORTING","apps/api/src/config/config.service.ts","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"A","EXPECTED","apps/api/src/database/database.module.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/database/database.service.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"M","ALLOWED_SUPPORTING","apps/api/src/health/health.controller.spec.ts","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"A","EXPECTED","apps/api/src/platform-access/access-administration.service.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/audit-redaction.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/audit.service.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/market.service.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/platform-access.integration.spec.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/platform-access.module.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/platform-access.spec.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/rbac.guard.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","apps/api/src/platform-access/rbac.service.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"M","EXPECTED","docs/00-master/DECISION_LOG.md","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"M","EXPECTED","docs/00-master/PHASE_REGISTRY.md","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","docs/03-architecture/ADR-006_DRIZZLE_DATABASE_FOUNDATION.md","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"M","ALLOWED_SUPPORTING","docs/06-phase-reports/P0-S4A_ORM_COMPARISON.md","ORM gate PoC and retained Node/runtime evidence required by D-006"
"M","ALLOWED_SUPPORTING","eslint.config.mjs","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/README.md","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/compose.poc.yaml","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/drizzle.config.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/harness.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/migrations/0000_initial.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/migrations/0001_domain_constraints.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/migrations/0002_align_fk_updates.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/migrations/meta/0000_snapshot.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/migrations/meta/0001_snapshot.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/migrations/meta/0002_snapshot.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/migrations/meta/_journal.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/nest-provider.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/drizzle/schema.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/package.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/prisma/harness.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/prisma/migrations/0001_initial/migration.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/prisma/migrations/0002_domain_constraints/migration.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/prisma/migrations/migration_lock.toml","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/prisma/nest-provider.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/prisma/prisma.config.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/prisma/schema.prisma","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/GATE_EVIDENCE_INDEX.md","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/commands.jsonl","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/concurrency-results.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/drift-results.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/environment.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/known-failures.md","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/migration-results.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v24.18.0-commands.jsonl","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v24.18.0-environment.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v24.18.0-test-summary.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v24.18.0-versions.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v26.4.0-commands.jsonl","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v26.4.0-environment.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v26.4.0-test-summary.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/node-v26.4.0-versions.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/schema-comparison.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/sql/additive.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/sql/destructive.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
